,alcohol,volatile acidity,free sulfur dioxide,density,total sulfur dioxide,pH,fixed acidity,residual sugar,sulphates,quality
0,8.8,0.27,45.0,1.001,170.0,3.0,7.0,20.7,0.45,6.0
1,9.5,0.3,14.0,0.994,132.0,3.3,6.3,1.6,0.49,6.0
2,10.1,0.28,30.0,0.9951,97.0,3.26,8.1,6.9,0.44,6.0
3,9.9,0.23,47.0,0.9956,186.0,3.19,7.2,8.5,0.4,6.0
4,9.9,0.23,47.0,0.9956,186.0,3.19,7.2,8.5,0.4,6.0
5,10.1,0.28,30.0,0.9951,97.0,3.26,8.1,6.9,0.44,6.0
6,9.6,0.32,30.0,0.9949,136.0,3.18,6.2,7.0,0.47,6.0
7,8.8,0.27,45.0,1.001,170.0,3.0,7.0,20.7,0.45,6.0
8,9.5,0.3,14.0,0.994,132.0,3.3,6.3,1.6,0.49,6.0
9,11.0,0.22,28.0,0.9938,129.0,3.22,8.1,1.5,0.45,6.0
10,12.0,0.27,11.0,0.9908,63.0,2.99,8.1,1.45,0.56,5.0
11,9.7,0.23,17.0,0.9947,109.0,3.14,8.6,4.2,0.53,5.0
12,10.8,0.18,16.0,0.992,75.0,3.18,7.9,1.2,0.63,5.0
13,12.4,0.16,48.0,0.9912,143.0,3.54,6.6,1.5,0.52,7.0
14,9.7,0.42,41.0,1.0002,172.0,2.98,8.3,19.25,0.67,5.0
15,11.4,0.17,28.0,0.9914,112.0,3.25,6.6,1.5,0.55,7.0
16,9.6,0.48,30.0,0.9928,99.0,3.24,6.3,1.1,0.36,6.0
17,12.8,0.66,29.0,0.9892,75.0,3.33,6.2,1.2,0.39,8.0
18,11.3,0.34,17.0,0.9917,171.0,3.12,7.4,1.1,0.53,6.0
19,9.5,0.31,34.0,0.9955,133.0,3.22,6.5,7.5,0.5,5.0
20,12.8,0.66,29.0,0.9892,75.0,3.33,6.2,1.2,0.39,8.0
21,11.0,0.31,19.0,0.9912,102.0,3.17,6.4,2.9,0.35,7.0
